run,phase,other_session_blocked,stream_rows,n,completion_ms,min_ms,median_ms,max_ms,frames,frame_p50_ms,frame_p99_ms,frame_max_ms,frames_over_33ms
k6-1,streambase,False,100000,5,866.7 866.8 867.0 867.1 867.2,866.68,867.004,867.239,601,16.695,17.81,20.538,0
k6-1,streamblocked,True,100000,5,866.7 866.8 866.8 866.9 867.3,866.716,866.811,867.262,601,16.698,17.843,18.413,0
k6-2,streambase,False,100000,5,866.3 866.6 866.7 866.7 866.7,866.259,866.696,866.745,601,16.673,17.461,33.286,1
k6-2,streamblocked,True,100000,5,866.3 866.4 866.6 866.7 867.1,866.338,866.558,867.109,601,16.673,17.277,17.577,0
k6-3,streambase,False,100000,5,866.7 866.9 866.9 867.3 867.4,866.663,866.948,867.385,601,16.676,17.565,18.212,0
k6-3,streamblocked,True,100000,5,866.7 866.7 866.7 867.1 867.4,866.691,866.749,867.394,601,16.671,17.561,18.738,0
